# id	file_name	format	expected	source_url	github_api_url
word-binary	hyperlink.doc	doc	success	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/hyperlink.doc	https://api.github.com/repos/apache/poi/contents/test-data/document/hyperlink.doc?ref=trunk
word-openxml	SampleDoc.docx	docx	success	https://raw.githubusercontent.com/apache/poi/trunk/test-data/document/SampleDoc.docx	https://api.github.com/repos/apache/poi/contents/test-data/document/SampleDoc.docx?ref=trunk
opendocument-text	text.odt	odt	success	https://raw.githubusercontent.com/firecrawl/anydoc/main/tests/fixtures/odt/text.odt	https://api.github.com/repos/firecrawl/anydoc/contents/tests/fixtures/odt/text.odt?ref=main
portable-document	text.pdf	pdf	success	https://raw.githubusercontent.com/firecrawl/anydoc/main/tests/fixtures/pdf/text.pdf	https://api.github.com/repos/firecrawl/anydoc/contents/tests/fixtures/pdf/text.pdf?ref=main
powerpoint-binary	text_shapes.ppt	ppt	success	https://raw.githubusercontent.com/apache/poi/trunk/test-data/slideshow/text_shapes.ppt	https://api.github.com/repos/apache/poi/contents/test-data/slideshow/text_shapes.ppt?ref=trunk
powerpoint-openxml	present1.pptx	pptx	success	https://raw.githubusercontent.com/apache/poi/trunk/test-data/slideshow/present1.pptx	https://api.github.com/repos/apache/poi/contents/test-data/slideshow/present1.pptx?ref=trunk
powerpoint-table-only	table_test.pptx	pptx	noExtractableText	https://raw.githubusercontent.com/apache/poi/trunk/test-data/slideshow/table_test.pptx	https://api.github.com/repos/apache/poi/contents/test-data/slideshow/table_test.pptx?ref=trunk
rich-text	text.rtf	rtf	success	https://raw.githubusercontent.com/firecrawl/anydoc/main/tests/fixtures/rtf/text.rtf	https://api.github.com/repos/firecrawl/anydoc/contents/tests/fixtures/rtf/text.rtf?ref=main
electronic-publication	book.epub	epub	success	https://raw.githubusercontent.com/firecrawl/anydoc/main/tests/fixtures/epub/book.epub	https://api.github.com/repos/firecrawl/anydoc/contents/tests/fixtures/epub/book.epub?ref=main
excel-binary	chinese-provinces.xls	excel	success	https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/chinese-provinces.xls	https://api.github.com/repos/apache/poi/contents/test-data/spreadsheet/chinese-provinces.xls?ref=trunk
excel-openxml	greek-beyond-bmp.xlsx	excel	success	https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/54084%20-%20Greek%20-%20beyond%20BMP.xlsx	https://api.github.com/repos/apache/poi/contents/test-data/spreadsheet/54084%20-%20Greek%20-%20beyond%20BMP.xlsx?ref=trunk
excel-binary-workbook	date.xlsb	excel	success	https://raw.githubusercontent.com/apache/poi/trunk/test-data/spreadsheet/date.xlsb	https://api.github.com/repos/apache/poi/contents/test-data/spreadsheet/date.xlsb?ref=trunk
comma-separated	iris.csv	csv	success	https://raw.githubusercontent.com/mwaskom/seaborn-data/master/iris.csv	https://api.github.com/repos/mwaskom/seaborn-data/contents/iris.csv?ref=master
